GEO_ID,NAME,total,total.under25K,total.under25K.insured,total.under25K.insured.private,total.under25K.insured.public,total.under25K.uninsured,total.25Kto50K,total.25Kto50K.insured,total.25Kto50K.insured.private,total.25Kto50K.insured.public,total.25Kto50K.uninsured,total.50Kto75K,total.50Kto75K.insured,total.50Kto75K.insured.private,total.50Kto75K.insured.public,total.50Kto75K.uninsured,total.75Kto100K,total.75Kto100K.insured,total.75Kto100K.insured.private,total.75Kto100K.insured.public,total.75Kto100K.uninsured,total.100Kplus,total.100Kplus.insured,total.100Kplus.insured.private,total.100Kplus.insured.public,total.100Kplus.uninsured
1400000US24031700717,"Census Tract 7007.17, Montgomery County, Maryland",7460,646,565,127,449,81,1532,1205,717,837,327,1866,1318,1022,478,548,1119,920,766,248,199,2297,1887,1777,262,410
1400000US24031700718,"Census Tract 7007.18, Montgomery County, Maryland",5316,221,207,121,164,14,317,273,211,153,44,862,826,695,261,36,713,703,650,147,10,3203,3113,3019,563,90
1400000US24031700719,"Census Tract 7007.19, Montgomery County, Maryland",9682,1189,860,226,733,329,1596,1276,619,803,320,2628,1903,1387,629,725,1423,1136,708,458,287,2846,2469,2158,497,377
1400000US24031700720,"Census Tract 7007.20, Montgomery County, Maryland",3746,220,184,96,101,36,577,485,212,325,92,422,343,175,206,79,642,551,421,278,91,1885,1665,1607,194,220
1400000US24031700721,"Census Tract 7007.21, Montgomery County, Maryland",3275,486,346,18,346,140,757,490,324,220,267,588,465,254,257,123,315,280,259,21,35,1129,883,643,248,246
1400000US24031700722,"Census Tract 7007.22, Montgomery County, Maryland",4625,515,447,89,371,68,978,874,561,330,104,617,514,354,177,103,788,649,537,165,139,1727,1612,1493,311,115
1400000US24031700723,"Census Tract 7007.23, Montgomery County, Maryland",3395,422,397,121,397,25,908,880,417,776,28,627,502,388,347,125,339,339,284,117,0,1099,995,902,616,104
1400000US24031700724,"Census Tract 7007.24, Montgomery County, Maryland",3635,526,373,93,341,153,1470,875,355,520,595,629,458,352,117,171,523,384,319,65,139,487,296,245,51,191
1400000US24031700810,"Census Tract 7008.10, Montgomery County, Maryland",5377,364,358,71,308,6,710,710,342,423,0,822,730,478,324,92,744,723,548,221,21,2737,2534,2456,418,203
1400000US24031700811,"Census Tract 7008.11, Montgomery County, Maryland",4325,149,135,20,123,14,637,567,248,359,70,826,748,559,280,78,772,609,449,246,163,1941,1842,1703,329,99
1400000US24031700812,"Census Tract 7008.12, Montgomery County, Maryland",4096,430,304,124,233,126,495,453,212,342,42,494,440,366,147,54,536,292,282,36,244,2141,2034,1927,254,107
1400000US24031700813,"Census Tract 7008.13, Montgomery County, Maryland",5818,401,340,133,263,61,1237,1153,653,583,84,1077,944,673,335,133,873,862,737,240,11,2230,2058,1883,441,172
1400000US24031700815,"Census Tract 7008.15, Montgomery County, Maryland",7453,874,779,142,687,95,591,542,187,369,49,1334,1151,927,308,183,998,762,381,426,236,3656,3395,2924,728,261
1400000US24031700816,"Census Tract 7008.16, Montgomery County, Maryland",8953,828,777,434,399,51,1352,1074,352,810,278,1271,1098,1002,206,173,2083,1924,1640,320,159,3419,3095,2973,199,324
1400000US24031700817,"Census Tract 7008.17, Montgomery County, Maryland",6192,648,499,230,306,149,710,512,360,229,198,1030,947,803,245,83,550,520,504,38,30,3254,3208,3109,222,46
1400000US24031700818,"Census Tract 7008.18, Montgomery County, Maryland",6737,869,733,216,546,136,1745,1312,471,963,433,1646,1437,534,924,209,841,593,494,144,248,1636,1536,1368,237,100
1400000US24031700819,"Census Tract 7008.19, Montgomery County, Maryland",7088,389,334,103,269,55,1592,1246,815,570,346,813,763,615,209,50,1201,1161,1152,86,40,3093,3043,2799,366,50
1400000US24031700820,"Census Tract 7008.20, Montgomery County, Maryland",2765,309,249,89,173,60,430,328,147,189,102,565,347,276,112,218,439,359,301,66,80,1022,992,896,135,30
1400000US24031700822,"Census Tract 7008.22, Montgomery County, Maryland",1846,150,92,21,71,58,477,296,154,170,181,197,130,124,16,67,436,410,389,28,26,586,560,524,85,26
1400000US24031700823,"Census Tract 7008.23, Montgomery County, Maryland",3433,174,174,96,100,0,273,246,100,176,27,285,254,254,24,31,469,462,417,81,7,2232,2171,2076,307,61
1400000US24031700824,"Census Tract 7008.24, Montgomery County, Maryland",2866,119,119,54,83,0,100,86,65,21,14,215,197,164,100,18,395,395,380,46,0,2037,1934,1785,303,103
1400000US24031700826,"Census Tract 7008.26, Montgomery County, Maryland",5555,256,256,184,126,0,230,230,165,158,0,463,463,387,268,0,558,558,545,127,0,4048,4018,3901,442,30
1400000US24031700828,"Census Tract 7008.28, Montgomery County, Maryland",2221,69,69,22,55,0,115,115,57,69,0,187,182,177,49,5,157,150,150,28,7,1693,1693,1650,152,0
1400000US24031700829,"Census Tract 7008.29, Montgomery County, Maryland",3205,160,155,140,50,5,81,81,71,53,0,425,403,345,139,22,231,231,223,60,0,2308,2243,2224,222,65
1400000US24031700830,"Census Tract 7008.30, Montgomery County, Maryland",3178,390,371,188,232,19,573,490,411,266,83,683,600,556,131,83,521,339,277,70,182,1011,969,883,145,42
1400000US24031700832,"Census Tract 7008.32, Montgomery County, Maryland",3316,344,288,25,276,56,667,486,169,342,181,514,420,367,66,94,730,716,703,62,14,1061,931,768,224,130
1400000US24031700833,"Census Tract 7008.33, Montgomery County, Maryland",4002,113,56,35,51,57,440,347,75,283,93,1047,805,477,392,242,574,487,448,49,87,1828,1708,1521,225,120
1400000US24031700834,"Census Tract 7008.34, Montgomery County, Maryland",5277,560,509,166,375,51,549,461,212,286,88,1095,875,713,228,220,564,441,318,129,123,2509,2427,2164,398,82
1400000US24031700835,"Census Tract 7008.35, Montgomery County, Maryland",4800,91,91,47,84,0,596,551,327,224,45,346,310,227,119,36,346,320,300,71,26,3421,3347,3128,370,74
