GEO_ID,NAME,MHHI
1400000US24005430200,"Census Tract 4302, Baltimore County, Maryland",40887
1400000US24005430300,"Census Tract 4303, Baltimore County, Maryland",35022
1400000US24005430400,"Census Tract 4304, Baltimore County, Maryland",76757
1400000US24005430600,"Census Tract 4306, Baltimore County, Maryland",95385
1400000US24005430700,"Census Tract 4307, Baltimore County, Maryland",90226
1400000US24005430800,"Census Tract 4308, Baltimore County, Maryland",73981
1400000US24005430900,"Census Tract 4309, Baltimore County, Maryland",50913
1400000US24005440100,"Census Tract 4401, Baltimore County, Maryland",68977
1400000US24005440200,"Census Tract 4402, Baltimore County, Maryland",64041
1400000US24005440300,"Census Tract 4403, Baltimore County, Maryland",60040
1400000US24005440400,"Census Tract 4404, Baltimore County, Maryland",74410
1400000US24005440500,"Census Tract 4405, Baltimore County, Maryland",71957
1400000US24005440600,"Census Tract 4406, Baltimore County, Maryland",108929
1400000US24005440701,"Census Tract 4407.01, Baltimore County, Maryland",59610
1400000US24005440702,"Census Tract 4407.02, Baltimore County, Maryland",62250
1400000US24005440800,"Census Tract 4408, Baltimore County, Maryland",66875
1400000US24005440900,"Census Tract 4409, Baltimore County, Maryland",72428
1400000US24005441000,"Census Tract 4410, Baltimore County, Maryland",62895
1400000US24005441101,"Census Tract 4411.01, Baltimore County, Maryland",63684
1400000US24005441102,"Census Tract 4411.02, Baltimore County, Maryland",57125
1400000US24005450100,"Census Tract 4501, Baltimore County, Maryland",54313
1400000US24005450200,"Census Tract 4502, Baltimore County, Maryland",62389
1400000US24005450300,"Census Tract 4503, Baltimore County, Maryland",48623
1400000US24005450400,"Census Tract 4504, Baltimore County, Maryland",70714
1400000US24005450501,"Census Tract 4505.01, Baltimore County, Maryland",48929
1400000US24005450503,"Census Tract 4505.03, Baltimore County, Maryland",54291
1400000US24005450504,"Census Tract 4505.04, Baltimore County, Maryland",38271
1400000US24005450800,"Census Tract 4508, Baltimore County, Maryland",42179
1400000US24005450900,"Census Tract 4509, Baltimore County, Maryland",76607
1400000US24005451000,"Census Tract 4510, Baltimore County, Maryland",79519
1400000US24005451100,"Census Tract 4511, Baltimore County, Maryland",90417
1400000US24005451200,"Census Tract 4512, Baltimore County, Maryland",74539
1400000US24005451300,"Census Tract 4513, Baltimore County, Maryland",48563
1400000US24005451401,"Census Tract 4514.01, Baltimore County, Maryland",73889
1400000US24005451402,"Census Tract 4514.02, Baltimore County, Maryland",57585
1400000US24005451500,"Census Tract 4515, Baltimore County, Maryland",62244
1400000US24005451600,"Census Tract 4516, Baltimore County, Maryland",55324
1400000US24005451701,"Census Tract 4517.01, Baltimore County, Maryland",85000
1400000US24005451702,"Census Tract 4517.02, Baltimore County, Maryland",83250
1400000US24005451801,"Census Tract 4518.01, Baltimore County, Maryland",65290
1400000US24005451802,"Census Tract 4518.02, Baltimore County, Maryland",68405
1400000US24005451803,"Census Tract 4518.03, Baltimore County, Maryland",74574
1400000US24005451900,"Census Tract 4519, Baltimore County, Maryland",78500
1400000US24005452000,"Census Tract 4520, Baltimore County, Maryland",70625
1400000US24005452100,"Census Tract 4521, Baltimore County, Maryland",76384
1400000US24005452300,"Census Tract 4523, Baltimore County, Maryland",49167
1400000US24005452400,"Census Tract 4524, Baltimore County, Maryland",67875
1400000US24005452500,"Census Tract 4525, Baltimore County, Maryland",52371
1400000US24005490100,"Census Tract 4901, Baltimore County, Maryland",142950
1400000US24005490200,"Census Tract 4902, Baltimore County, Maryland",111292
1400000US24005490301,"Census Tract 4903.01, Baltimore County, Maryland",56609
1400000US24005490302,"Census Tract 4903.02, Baltimore County, Maryland",81307
1400000US24005490400,"Census Tract 4904, Baltimore County, Maryland",148182
1400000US24005490500,"Census Tract 4905, Baltimore County, Maryland",156607
1400000US24005490601,"Census Tract 4906.01, Baltimore County, Maryland",103667
1400000US24005490602,"Census Tract 4906.02, Baltimore County, Maryland",83233
1400000US24005490603,"Census Tract 4906.03, Baltimore County, Maryland",106087
1400000US24005490605,"Census Tract 4906.05, Baltimore County, Maryland",11190
1400000US24005490701,"Census Tract 4907.01, Baltimore County, Maryland",102500
1400000US24005490703,"Census Tract 4907.03, Baltimore County, Maryland",92386
1400000US24005490800,"Census Tract 4908, Baltimore County, Maryland",87727
1400000US24005490900,"Census Tract 4909, Baltimore County, Maryland",50217
1400000US24005491000,"Census Tract 4910, Baltimore County, Maryland",144000
1400000US24005491100,"Census Tract 4911, Baltimore County, Maryland",88793
1400000US24005491201,"Census Tract 4912.01, Baltimore County, Maryland",74250
1400000US24005491202,"Census Tract 4912.02, Baltimore County, Maryland",72083
1400000US24005491300,"Census Tract 4913, Baltimore County, Maryland",55440
1400000US24005491401,"Census Tract 4914.01, Baltimore County, Maryland",43456
1400000US24005491402,"Census Tract 4914.02, Baltimore County, Maryland",40347
1400000US24005491500,"Census Tract 4915, Baltimore County, Maryland",64538
1400000US24005491600,"Census Tract 4916, Baltimore County, Maryland",60017
1400000US24005491701,"Census Tract 4917.01, Baltimore County, Maryland",73828
1400000US24005491900,"Census Tract 4919, Baltimore County, Maryland",62025
1400000US24005492001,"Census Tract 4920.01, Baltimore County, Maryland",55375
1400000US24005492002,"Census Tract 4920.02, Baltimore County, Maryland",74819
1400000US24005492101,"Census Tract 4921.01, Baltimore County, Maryland",61971
1400000US24005492102,"Census Tract 4921.02, Baltimore County, Maryland",70441
1400000US24005492200,"Census Tract 4922, Baltimore County, Maryland",58103
1400000US24005492300,"Census Tract 4923, Baltimore County, Maryland",70066
1400000US24005492401,"Census Tract 4924.01, Baltimore County, Maryland",88237
1400000US24005492402,"Census Tract 4924.02, Baltimore County, Maryland",76063
1400000US24005492500,"Census Tract 4925, Baltimore County, Maryland",
1400000US24005492600,"Census Tract 4926, Baltimore County, Maryland",66494
1400000US24005980000,"Census Tract 9800, Baltimore County, Maryland",
1400000US24005980100,"Census Tract 9801, Baltimore County, Maryland",
1400000US24005980200,"Census Tract 9802, Baltimore County, Maryland",
1400000US24009860101,"Census Tract 8601.01, Calvert County, Maryland",124706
1400000US24009860102,"Census Tract 8601.02, Calvert County, Maryland",84609
1400000US24009860200,"Census Tract 8602, Calvert County, Maryland",126859
1400000US24009860300,"Census Tract 8603, Calvert County, Maryland",128155
1400000US24009860401,"Census Tract 8604.01, Calvert County, Maryland",96875
1400000US24009860402,"Census Tract 8604.02, Calvert County, Maryland",92105
1400000US24009860501,"Census Tract 8605.01, Calvert County, Maryland",135369
1400000US24009860502,"Census Tract 8605.02, Calvert County, Maryland",100625
1400000US24009860600,"Census Tract 8606, Calvert County, Maryland",132682
1400000US24009860701,"Census Tract 8607.01, Calvert County, Maryland",88929
1400000US24009860702,"Census Tract 8607.02, Calvert County, Maryland",73550
1400000US24009860703,"Census Tract 8607.03, Calvert County, Maryland",95313
1400000US24009860801,"Census Tract 8608.01, Calvert County, Maryland",119831
1400000US24009860802,"Census Tract 8608.02, Calvert County, Maryland",86324
1400000US24009860900,"Census Tract 8609, Calvert County, Maryland",93454
1400000US24009861001,"Census Tract 8610.01, Calvert County, Maryland",130000
1400000US24009861003,"Census Tract 8610.03, Calvert County, Maryland",81068
1400000US24009861004,"Census Tract 8610.04, Calvert County, Maryland",85612
1400000US24009990100,"Census Tract 9901, Calvert County, Maryland",
1400000US24011955000,"Census Tract 9550, Caroline County, Maryland",45346
1400000US24011955100,"Census Tract 9551, Caroline County, Maryland",58281
1400000US24011955201,"Census Tract 9552.01, Caroline County, Maryland",51250
1400000US24011955202,"Census Tract 9552.02, Caroline County, Maryland",55795
1400000US24011955301,"Census Tract 9553.01, Caroline County, Maryland",70250
1400000US24011955302,"Census Tract 9553.02, Caroline County, Maryland",44589
1400000US24011955400,"Census Tract 9554, Caroline County, Maryland",56786
1400000US24011955500,"Census Tract 9555, Caroline County, Maryland",62891
1400000US24011955600,"Census Tract 9556, Caroline County, Maryland",36349
1400000US24013501001,"Census Tract 5010.01, Carroll County, Maryland",72222
1400000US24013501002,"Census Tract 5010.02, Carroll County, Maryland",75069
1400000US24013502000,"Census Tract 5020, Carroll County, Maryland",81723
1400000US24013503000,"Census Tract 5030, Carroll County, Maryland",82804
1400000US24013504100,"Census Tract 5041, Carroll County, Maryland",103958
1400000US24013504201,"Census Tract 5042.01, Carroll County, Maryland",105308
1400000US24013504202,"Census Tract 5042.02, Carroll County, Maryland",109280
1400000US24013505101,"Census Tract 5051.01, Carroll County, Maryland",127652
1400000US24013505102,"Census Tract 5051.02, Carroll County, Maryland",120821
1400000US24013505203,"Census Tract 5052.03, Carroll County, Maryland",102782
1400000US24013505205,"Census Tract 5052.05, Carroll County, Maryland",112774
1400000US24013505206,"Census Tract 5052.06, Carroll County, Maryland",91908
1400000US24013505207,"Census Tract 5052.07, Carroll County, Maryland",104577
1400000US24013505208,"Census Tract 5052.08, Carroll County, Maryland",106116
1400000US24013506101,"Census Tract 5061.01, Carroll County, Maryland",95075
1400000US24013506102,"Census Tract 5061.02, Carroll County, Maryland",84810
1400000US24013506200,"Census Tract 5062, Carroll County, Maryland",75238
1400000US24013507500,"Census Tract 5075, Carroll County, Maryland",90093
1400000US24013507601,"Census Tract 5076.01, Carroll County, Maryland",66605
1400000US24013507602,"Census Tract 5076.02, Carroll County, Maryland",61226
1400000US24013507702,"Census Tract 5077.02, Carroll County, Maryland",75761
1400000US24013507703,"Census Tract 5077.03, Carroll County, Maryland",87733
