GEOID,insured,uninsured,total
1400000US24031701220,3814,79,3893
1400000US24031701221,4245,166,4411
1400000US24031701303,3380,11,3391
1400000US24031701304,5852,143,5995
1400000US24031701306,2958,87,3045
1400000US24031701307,4193,129,4322
1400000US24031701308,3155,51,3206
1400000US24031701312,6457,58,6515
1400000US24031701313,3634,94,3728
1400000US24031701314,3171,83,3254
1400000US24031701315,4550,84,4634
1400000US24031701316,6148,238,6386
1400000US24031701317,4233,263,4496
1400000US24031701407,5524,197,5721
1400000US24031701408,6339,326,6665
1400000US24031701409,4243,363,4606
1400000US24031701410,8226,1026,9252
1400000US24031701414,5985,1431,7416
1400000US24031701415,7017,766,7783
1400000US24031701417,5313,503,5816
1400000US24031701418,3216,265,3481
1400000US24031701420,6565,124,6689
1400000US24031701421,1640,422,2062
1400000US24031701422,2612,670,3282
1400000US24031701423,4229,462,4691
1400000US24031701503,6368,446,6814
1400000US24031701505,6369,899,7268
1400000US24031701506,4915,291,5206
1400000US24031701507,4624,366,4990
1400000US24031701508,3594,473,4067
1400000US24031701509,5632,1113,6745
1400000US24031701601,1865,757,2622
1400000US24031701602,5561,1738,7299
1400000US24031701701,3179,234,3413
1400000US24031701702,2079,568,2647
1400000US24031701703,3262,332,3594
1400000US24031701704,2962,61,3023
1400000US24031701800,4545,466,5011
1400000US24031701900,2541,706,3247
1400000US24031702000,4060,1678,5738
1400000US24031702101,4817,1304,6121
1400000US24031702102,3254,85,3339
1400000US24031702200,4696,344,5040
1400000US24031702301,2585,1113,3698
1400000US24031702302,3662,349,4011
1400000US24031702401,2507,39,2546
1400000US24031702402,4207,99,4306
1400000US24031702500,6738,347,7085
1400000US24031702601,4302,247,4549
1400000US24031702602,4387,772,5159
1400000US24031702700,6704,631,7335
1400000US24031702800,4919,209,5128
1400000US24031702900,5112,114,5226
1400000US24031703000,1831,56,1887
1400000US24031703100,3937,587,4524
1400000US24031703201,6928,978,7906
1400000US24031703202,5733,208,5941
1400000US24031703206,3508,214,3722
1400000US24031703207,4869,1440,6309
1400000US24031703208,4938,463,5401
1400000US24031703209,5536,906,6442
1400000US24031703210,3015,394,3409
1400000US24031703212,8526,1173,9699
1400000US24031703213,5018,1391,6409
1400000US24031703214,6075,1757,7832
1400000US24031703215,2843,425,3268
1400000US24031703216,3503,330,3833
1400000US24031703218,1868,0,1868
1400000US24031703219,3361,32,3393
1400000US24031703220,4596,586,5182
1400000US24031703221,4682,749,5431
1400000US24031703301,4472,791,5263
1400000US24031703302,3425,1087,4512
1400000US24031703401,4320,1138,5458
1400000US24031703402,3419,166,3585
