GEOID,insured,uninsured,total
1400000US24033801906,1684,359,2043
1400000US24033801907,2956,293,3249
1400000US24033801908,3197,382,3579
1400000US24033802001,4714,741,5455
1400000US24033802002,3344,433,3777
1400000US24033802103,2750,181,2931
1400000US24033802104,1453,187,1640
1400000US24033802106,3325,656,3981
1400000US24033802107,3499,682,4181
1400000US24033802201,1314,324,1638
1400000US24033802203,3380,915,4295
1400000US24033802204,5228,581,5809
1400000US24033802301,3507,578,4085
1400000US24033802404,4060,389,4449
1400000US24033802405,3565,380,3945
1400000US24033802406,2026,301,2327
1400000US24033802407,3644,461,4105
1400000US24033802408,1237,272,1509
1400000US24033802501,2573,332,2905
1400000US24033802502,2195,392,2587
1400000US24033802600,2585,318,2903
1400000US24033802700,1883,462,2345
1400000US24033802803,4119,242,4361
